id,type,title,start_date,end_date
DONE-37,Story,Completed Item 37,2025-10-14,2025-10-19
DONE-96,Bug,Completed Item 96,2025-10-14,2025-10-25
DONE-124,Task,Completed Item 124,2025-10-17,2025-11-01
DONE-34,Improvement,Completed Item 34,2025-10-19,2025-11-03
DONE-99,Story,Completed Item 99,2025-10-20,2025-10-30
DONE-26,Bug,Completed Item 26,2025-10-22,2025-11-02
DONE-38,Task,Completed Item 38,2025-10-24,2025-10-29
DONE-79,Improvement,Completed Item 79,2025-10-24,2025-10-29
DONE-104,Story,Completed Item 104,2025-10-25,2025-11-02
DONE-13,Bug,Completed Item 13,2025-10-26,2025-11-13
DONE-61,Task,Completed Item 61,2025-10-26,2025-11-14
DONE-81,Improvement,Completed Item 81,2025-10-26,2025-10-28
DONE-92,Story,Completed Item 92,2025-10-28,2025-11-11
DONE-128,Bug,Completed Item 128,2025-10-28,2025-11-02
DONE-107,Task,Completed Item 107,2025-10-29,2025-11-17
DONE-148,Improvement,Completed Item 148,2025-10-31,2025-11-17
DONE-42,Story,Completed Item 42,2025-11-05,2025-11-13
DONE-126,Bug,Completed Item 126,2025-11-06,2025-11-16
DONE-125,Task,Completed Item 125,2025-11-07,2025-11-11
DONE-73,Improvement,Completed Item 73,2025-11-10,2025-11-14
DONE-101,Story,Completed Item 101,2025-11-10,2025-11-28
DONE-1,Bug,Completed Item 1,2025-11-11,2025-11-13
DONE-150,Task,Completed Item 150,2025-11-12,2025-12-02
DONE-78,Improvement,Completed Item 78,2025-11-13,2025-11-29
DONE-136,Story,Completed Item 136,2025-11-13,2025-11-24
DONE-56,Bug,Completed Item 56,2025-11-16,2025-11-29
DONE-112,Task,Completed Item 112,2025-11-16,2025-11-22
DONE-127,Improvement,Completed Item 127,2025-11-16,2025-11-22
DONE-6,Story,Completed Item 6,2025-11-17,2025-11-23
DONE-28,Bug,Completed Item 28,2025-11-19,2025-11-22
DONE-39,Task,Completed Item 39,2025-11-20,2025-11-28
DONE-103,Improvement,Completed Item 103,2025-11-21,2025-11-26
DONE-3,Story,Completed Item 3,2025-11-22,2025-12-04
DONE-77,Bug,Completed Item 77,2025-11-22,2025-11-30
DONE-119,Task,Completed Item 119,2025-11-22,2025-12-10
DONE-143,Improvement,Completed Item 143,2025-11-22,2025-12-12
DONE-5,Story,Completed Item 5,2025-11-23,2025-12-09
DONE-75,Bug,Completed Item 75,2025-11-24,2025-11-26
DONE-16,Task,Completed Item 16,2025-11-25,2025-12-10
DONE-95,Improvement,Completed Item 95,2025-11-29,2025-12-14
DONE-120,Story,Completed Item 120,2025-11-29,2025-11-30
DONE-146,Bug,Completed Item 146,2025-12-02,2025-12-19
DONE-12,Task,Completed Item 12,2025-12-03,2025-12-08
DONE-80,Improvement,Completed Item 80,2025-12-03,2025-12-12
DONE-64,Story,Completed Item 64,2025-12-04,2025-12-07
DONE-7,Bug,Completed Item 7,2025-12-05,2025-12-09
DONE-53,Task,Completed Item 53,2025-12-05,2025-12-23
DONE-84,Improvement,Completed Item 84,2025-12-05,2025-12-12
DONE-49,Story,Completed Item 49,2025-12-06,2025-12-21
DONE-50,Bug,Completed Item 50,2025-12-06,2025-12-26
DONE-121,Task,Completed Item 121,2025-12-06,2025-12-21
DONE-11,Improvement,Completed Item 11,2025-12-07,2025-12-11
DONE-149,Story,Completed Item 149,2025-12-07,2025-12-12
DONE-98,Bug,Completed Item 98,2025-12-08,2025-12-23
DONE-108,Task,Completed Item 108,2025-12-08,2025-12-22
DONE-24,Improvement,Completed Item 24,2025-12-11,2025-12-31
DONE-68,Story,Completed Item 68,2025-12-13,2025-12-14
DONE-2,Bug,Completed Item 2,2025-12-14,2025-12-24
DONE-35,Task,Completed Item 35,2025-12-15,2025-12-17
DONE-129,Improvement,Completed Item 129,2025-12-15,2025-12-23
DONE-67,Story,Completed Item 67,2025-12-16,2025-12-25
DONE-117,Bug,Completed Item 117,2025-12-16,2026-01-03
DONE-8,Task,Completed Item 8,2025-12-17,2025-12-21
DONE-105,Improvement,Completed Item 105,2025-12-17,2025-12-25
DONE-140,Story,Completed Item 140,2025-12-17,2026-01-06
DONE-48,Bug,Completed Item 48,2025-12-18,2026-01-02
DONE-145,Task,Completed Item 145,2025-12-19,2025-12-28
DONE-15,Improvement,Completed Item 15,2025-12-20,2026-01-05
DONE-23,Story,Completed Item 23,2025-12-20,2025-12-24
DONE-57,Bug,Completed Item 57,2025-12-20,2025-12-21
DONE-94,Task,Completed Item 94,2025-12-21,2026-01-06
DONE-29,Improvement,Completed Item 29,2025-12-22,2025-12-29
DONE-132,Story,Completed Item 132,2025-12-23,2026-01-04
DONE-30,Bug,Completed Item 30,2025-12-24,2026-01-07
DONE-36,Task,Completed Item 36,2025-12-27,2026-01-10
DONE-66,Improvement,Completed Item 66,2025-12-28,2026-01-02
DONE-147,Story,Completed Item 147,2025-12-31,2026-01-04
DONE-60,Bug,Completed Item 60,2026-01-01,2026-01-16
DONE-123,Task,Completed Item 123,2026-01-01,2026-01-19
DONE-58,Improvement,Completed Item 58,2026-01-02,2026-01-15
DONE-33,Story,Completed Item 33,2026-01-03,2026-01-13
DONE-65,Bug,Completed Item 65,2026-01-03,2026-01-23
DONE-114,Task,Completed Item 114,2026-01-03,2026-01-16
DONE-9,Improvement,Completed Item 9,2026-01-04,2026-01-14
DONE-22,Story,Completed Item 22,2026-01-05,2026-01-13
DONE-31,Bug,Completed Item 31,2026-01-07,2026-01-20
DONE-72,Task,Completed Item 72,2026-01-10,2026-01-16
DONE-144,Improvement,Completed Item 144,2026-01-10,2026-01-16
DONE-44,Story,Completed Item 44,2026-01-13,2026-01-22
DONE-137,Bug,Completed Item 137,2026-01-13,2026-01-28
DONE-142,Task,Completed Item 142,2026-01-16,2026-02-02
DONE-17,Improvement,Completed Item 17,2026-01-17,2026-01-23
DONE-109,Story,Completed Item 109,2026-01-17,2026-02-02
DONE-135,Bug,Completed Item 135,2026-01-17,2026-01-26
DONE-85,Task,Completed Item 85,2026-01-18,2026-01-31
DONE-52,Improvement,Completed Item 52,2026-01-21,2026-02-02
DONE-20,Story,Completed Item 20,2026-01-22,2026-02-03
DONE-88,Bug,Completed Item 88,2026-01-22,2026-02-06
DONE-19,Task,Completed Item 19,2026-01-25,2026-02-13
DONE-45,Improvement,Completed Item 45,2026-01-25,2026-02-04
DONE-54,Story,Completed Item 54,2026-01-25,2026-01-27
DONE-91,Bug,Completed Item 91,2026-01-28,2026-02-11
DONE-14,Task,Completed Item 14,2026-01-29,2026-02-02
DONE-62,Improvement,Completed Item 62,2026-01-29,2026-02-02
DONE-106,Story,Completed Item 106,2026-01-31,2026-02-14
DONE-118,Bug,Completed Item 118,2026-01-31,2026-02-11
DONE-76,Task,Completed Item 76,2026-02-03,2026-02-10
DONE-82,Improvement,Completed Item 82,2026-02-03,2026-02-05
DONE-90,Story,Completed Item 90,2026-02-03,2026-02-20
DONE-116,Bug,Completed Item 116,2026-02-06,2026-02-18
DONE-59,Task,Completed Item 59,2026-02-09,2026-03-01
DONE-139,Improvement,Completed Item 139,2026-02-09,2026-02-13
DONE-4,Story,Completed Item 4,2026-02-10,2026-02-27
DONE-69,Bug,Completed Item 69,2026-02-10,2026-03-01
DONE-111,Task,Completed Item 111,2026-02-10,2026-03-01
DONE-40,Improvement,Completed Item 40,2026-02-13,2026-02-19
DONE-89,Story,Completed Item 89,2026-02-13,2026-02-18
DONE-21,Bug,Completed Item 21,2026-02-14,2026-02-15
DONE-46,Task,Completed Item 46,2026-02-14,2026-03-03
DONE-138,Improvement,Completed Item 138,2026-02-15,2026-03-07
DONE-134,Story,Completed Item 134,2026-02-17,2026-03-01
DONE-100,Bug,Completed Item 100,2026-02-18,2026-03-08
DONE-141,Task,Completed Item 141,2026-02-18,2026-02-27
DONE-43,Improvement,Completed Item 43,2026-02-20,2026-02-25
DONE-51,Story,Completed Item 51,2026-02-21,2026-02-26
DONE-102,Bug,Completed Item 102,2026-02-21,2026-03-02
DONE-113,Task,Completed Item 113,2026-02-21,2026-03-09
DONE-131,Improvement,Completed Item 131,2026-02-23,2026-03-07
DONE-63,Story,Completed Item 63,2026-02-24,2026-03-15
DONE-41,Bug,Completed Item 41,2026-02-25,2026-03-14
DONE-47,Task,Completed Item 47,2026-02-25,2026-03-13
DONE-25,Improvement,Completed Item 25,2026-02-26,2026-02-28
DONE-27,Story,Completed Item 27,2026-02-26,2026-03-07
DONE-32,Bug,Completed Item 32,2026-02-26,2026-03-16
DONE-87,Task,Completed Item 87,2026-02-26,2026-03-10
DONE-93,Improvement,Completed Item 93,2026-02-27,2026-03-02
DONE-130,Story,Completed Item 130,2026-02-27,2026-03-03
WIP-15,Bug,WIP Item 15,2026-02-27,
WIP-21,Task,WIP Item 21,2026-02-27,
WIP-24,Improvement,WIP Item 24,2026-02-27,
WIP-44,Story,WIP Item 44,2026-02-27,
WIP-48,Bug,WIP Item 48,2026-02-27,
DONE-122,Task,Completed Item 122,2026-02-28,2026-03-17
DONE-133,Improvement,Completed Item 133,2026-02-28,2026-03-06
WIP-40,Story,WIP Item 40,2026-02-28,
DONE-10,Bug,Completed Item 10,2026-03-01,2026-03-21
WIP-30,Task,WIP Item 30,2026-03-01,
DONE-18,Improvement,Completed Item 18,2026-03-02,2026-03-19
DONE-70,Story,Completed Item 70,2026-03-02,2026-03-12
DONE-83,Bug,Completed Item 83,2026-03-02,2026-03-07
DONE-71,Task,Completed Item 71,2026-03-03,2026-03-12
DONE-86,Improvement,Completed Item 86,2026-03-03,2026-03-08
WIP-37,Story,WIP Item 37,2026-03-03,
DONE-55,Bug,Completed Item 55,2026-03-04,2026-03-08
WIP-20,Task,WIP Item 20,2026-03-04,
DONE-115,Improvement,Completed Item 115,2026-03-05,2026-03-22
DONE-110,Story,Completed Item 110,2026-03-07,2026-03-09
WIP-41,Bug,WIP Item 41,2026-03-07,
DONE-74,Task,Completed Item 74,2026-03-09,2026-03-12
DONE-97,Improvement,Completed Item 97,2026-03-10,2026-03-16
WIP-23,Story,WIP Item 23,2026-03-10,
WIP-39,Bug,WIP Item 39,2026-03-10,
WIP-47,Task,WIP Item 47,2026-03-10,
WIP-33,Improvement,WIP Item 33,2026-03-11,
WIP-5,Story,WIP Item 5,2026-03-12,
WIP-12,Bug,WIP Item 12,2026-03-13,
WIP-19,Task,WIP Item 19,2026-03-13,
WIP-46,Improvement,WIP Item 46,2026-03-13,
WIP-25,Story,WIP Item 25,2026-03-15,
WIP-50,Bug,WIP Item 50,2026-03-16,
WIP-3,Task,WIP Item 3,2026-03-17,
WIP-7,Improvement,WIP Item 7,2026-03-17,
WIP-42,Story,WIP Item 42,2026-03-17,
WIP-14,Bug,WIP Item 14,2026-03-18,
WIP-28,Task,WIP Item 28,2026-03-18,
WIP-4,Improvement,WIP Item 4,2026-03-19,
WIP-22,Story,WIP Item 22,2026-03-19,
WIP-9,Bug,WIP Item 9,2026-03-20,
WIP-11,Task,WIP Item 11,2026-03-20,
WIP-17,Improvement,WIP Item 17,2026-03-21,
WIP-45,Story,WIP Item 45,2026-03-22,
WIP-32,Bug,WIP Item 32,2026-03-23,
WIP-26,Task,WIP Item 26,2026-03-24,
WIP-2,Improvement,WIP Item 2,2026-03-25,
WIP-36,Story,WIP Item 36,2026-03-25,
WIP-29,Bug,WIP Item 29,2026-03-26,
WIP-38,Task,WIP Item 38,2026-03-27,
WIP-34,Improvement,WIP Item 34,2026-03-28,
WIP-31,Story,WIP Item 31,2026-04-01,
WIP-43,Bug,WIP Item 43,2026-04-02,
WIP-13,Task,WIP Item 13,2026-04-04,
WIP-18,Improvement,WIP Item 18,2026-04-05,
WIP-27,Story,WIP Item 27,2026-04-05,
WIP-8,Bug,WIP Item 8,2026-04-06,
WIP-10,Task,WIP Item 10,2026-04-06,
WIP-35,Improvement,WIP Item 35,2026-04-06,
WIP-6,Story,WIP Item 6,2026-04-09,
WIP-1,Bug,WIP Item 1,2026-04-11,
WIP-16,Task,WIP Item 16,2026-04-11,
WIP-49,Improvement,WIP Item 49,2026-04-11,
